iter	Passed	Remaining
0	133	133590
1	134	67301
2	135	45122
3	141	35188
4	142	28420
5	144	23881
6	145	20692
7	146	18226
8	148	16312
9	149	14794
10	150	13536
11	153	12670
12	156	11865
13	157	11090
14	159	10458
15	160	9856
16	161	9325
17	162	8860
18	163	8445
19	164	8063
20	165	7718
21	167	7450
22	168	7165
23	169	6900
24	171	6684
25	173	6497
26	174	6289
27	175	6102
28	176	5923
29	177	5748
30	178	5584
31	179	5432
32	180	5285
33	183	5206
34	184	5100
35	186	4983
36	187	4870
37	188	4760
38	189	4658
39	189	4558
40	190	4461
41	191	4372
42	192	4284
43	193	4208
44	194	4131
45	197	4091
46	199	4038
47	200	3974
48	201	3915
49	203	3859
50	204	3800
51	205	3740
52	206	3681
53	206	3625
54	207	3569
55	208	3517
56	209	3473
57	211	3428
58	212	3387
59	213	3348
60	214	3306
61	215	3264
62	216	3221
63	217	3179
64	218	3140
65	219	3102
66	220	3065
67	220	3024
68	221	2991
69	222	2956
70	223	2924
71	225	2900
72	226	2872
73	227	2845
74	228	2817
75	229	2788
76	230	2760
77	231	2733
78	232	2707
79	233	2681
80	234	2654
81	234	2629
82	235	2605
83	236	2581
84	237	2555
85	238	2532
86	239	2509
87	240	2491
88	241	2474
89	242	2455
90	243	2436
91	244	2416
92	245	2396
93	246	2376
94	247	2357
95	248	2338
96	249	2320
97	250	2302
98	251	2284
99	251	2267
100	253	2252
101	253	2236
102	255	2224
103	256	2210
104	257	2195
105	258	2180
106	259	2165
107	260	2151
108	261	2137
109	262	2123
110	263	2109
111	264	2095
112	265	2081
113	266	2068
114	267	2054
115	267	2041
116	269	2030
117	270	2018
118	270	2006
119	272	1995
120	273	1983
121	273	1971
122	274	1956
123	275	1946
124	276	1934
125	277	1923
126	278	1912
127	278	1899
128	279	1888
129	280	1877
130	281	1867
131	282	1858
132	283	1849
133	284	1841
134	285	1831
135	286	1822
136	287	1812
137	288	1802
138	289	1793
139	290	1784
140	291	1775
141	292	1765
142	293	1756
143	293	1747
144	295	1739
145	296	1732
146	297	1725
147	298	1719
148	299	1712
149	301	1705
150	302	1699
151	303	1691
152	304	1683
153	305	1676
154	306	1669
155	307	1661
156	308	1654
157	308	1646
158	309	1638
159	310	1631
160	311	1624
161	312	1618
162	313	1612
163	315	1608
164	316	1601
165	317	1595
166	318	1589
167	319	1582
168	320	1575
169	321	1569
170	322	1562
171	323	1556
172	324	1550
173	325	1543
174	326	1537
175	327	1531
176	328	1526
177	329	1521
178	330	1516
179	331	1510
180	332	1502
181	332	1496
182	333	1490
183	334	1483
184	335	1478
185	336	1472
186	337	1466
187	338	1460
188	339	1454
189	339	1449
190	340	1444
191	341	1439
192	342	1434
193	343	1429
194	345	1424
195	345	1419
196	346	1413
197	347	1408
198	348	1403
199	349	1398
200	350	1393
201	351	1388
202	352	1383
203	353	1378
204	354	1373
205	354	1368
206	355	1363
207	356	1358
208	357	1354
209	358	1350
210	360	1346
211	361	1341
212	361	1337
213	362	1333
214	363	1328
215	364	1323
216	365	1319
217	366	1315
218	367	1311
219	368	1307
220	369	1303
221	370	1299
222	372	1296
223	373	1293
224	374	1290
225	375	1286
226	376	1282
227	377	1278
228	378	1274
229	379	1270
230	380	1266
231	381	1262
232	382	1258
233	383	1254
234	384	1251
235	385	1246
236	386	1243
237	387	1242
238	389	1239
239	390	1235
240	391	1231
241	391	1227
242	392	1223
243	393	1219
244	394	1215
245	395	1212
246	396	1208
247	397	1204
248	398	1200
249	398	1196
250	399	1193
251	400	1189
252	402	1186
253	403	1184
254	404	1180
255	405	1177
256	406	1173
257	406	1170
258	407	1166
259	408	1163
260	409	1159
261	410	1156
262	411	1152
263	412	1149
264	413	1146
265	414	1142
266	415	1139
267	416	1136
268	417	1134
269	418	1131
270	419	1129
271	420	1125
272	421	1122
273	422	1119
274	423	1116
275	424	1113
276	425	1109
277	426	1106
278	427	1103
279	428	1100
280	428	1097
281	429	1094
282	430	1091
283	431	1088
284	432	1085
285	433	1083
286	434	1080
287	435	1077
288	436	1074
289	437	1072
290	439	1069
291	440	1066
292	440	1064
293	441	1061
294	442	1058
295	443	1055
296	444	1052
297	445	1049
298	446	1046
299	447	1043
300	448	1041
301	449	1038
302	450	1035
303	451	1033
304	452	1030
305	453	1027
306	454	1025
307	454	1022
308	455	1019
309	456	1016
310	457	1013
311	458	1011
312	459	1008
313	460	1005
314	461	1003
315	462	1000
316	463	997
317	463	995
318	464	992
319	465	990
320	466	987
321	467	984
322	468	982
323	469	979
324	470	976
325	471	974
326	472	971
327	473	969
328	474	967
329	475	964
330	476	962
331	477	960
332	478	957
333	478	955
334	479	952
335	480	950
336	481	948
337	482	945
338	483	943
339	484	941
340	485	938
341	486	936
342	487	933
343	488	931
344	489	928
345	489	926
346	490	923
347	491	921
348	492	918
349	493	916
350	494	913
351	495	911
352	496	909
353	496	906
354	497	904
355	498	901
356	499	899
357	500	897
358	501	894
359	501	892
360	502	889
361	503	887
362	504	885
363	505	883
364	507	882
365	508	880
366	509	878
367	510	876
368	511	874
369	512	872
370	513	870
371	514	868
372	515	866
373	518	868
374	534	890
375	536	889
376	537	887
377	538	886
378	539	884
379	541	882
380	542	881
381	543	879
382	545	878
383	546	876
384	547	875
385	549	873
386	550	871
387	551	870
388	553	869
389	554	867
390	555	865
391	557	864
392	558	863
393	560	861
394	563	863
395	565	862
396	566	860
397	568	859
398	569	857
399	570	855
400	571	853
401	572	851
402	573	850
403	575	848
404	576	846
405	577	844
406	578	842
407	579	841
408	581	839
409	582	837
410	583	835
411	584	834
412	585	832
413	587	831
414	588	829
415	590	828
416	591	826
417	592	825
418	594	823
419	595	822
420	596	820
421	597	818
422	598	816
423	599	814
424	600	813
425	601	811
426	603	809
427	604	807
428	605	805
429	606	803
430	607	801
431	608	799
432	609	797
433	610	795
434	611	794
435	612	792
436	613	790
437	614	788
438	615	786
439	616	785
440	617	783
441	619	781
442	620	779
443	621	778
444	622	776
445	623	774
446	624	773
447	625	771
448	627	769
449	628	767
450	629	766
451	630	764
452	631	762
453	632	760
454	633	758
455	634	757
456	635	755
457	636	753
458	638	751
459	639	750
460	639	748
461	640	746
462	641	744
463	643	742
464	644	741
465	645	739
466	646	738
467	648	737
468	649	735
469	650	733
470	652	732
471	653	730
472	654	729
473	656	728
474	657	726
475	658	724
476	659	723
477	660	721
478	661	719
479	662	717
480	663	715
481	664	713
482	665	712
483	666	710
484	667	708
485	668	706
486	669	705
487	670	703
488	671	701
489	672	699
490	673	698
491	674	696
492	675	694
493	676	693
494	677	691
495	678	689
496	680	688
497	681	686
498	682	685
499	683	683
500	684	681
501	685	679
502	686	678
503	687	676
504	688	674
505	689	672
506	690	671
507	691	669
508	692	667
509	693	666
510	694	664
511	695	662
512	696	660
513	697	659
514	697	657
515	698	655
516	699	653
517	700	651
518	701	649
519	702	648
520	702	646
521	703	644
522	704	642
523	705	640
524	706	638
525	707	637
526	708	635
527	708	633
528	709	632
529	710	630
530	711	628
531	712	626
532	713	625
533	714	623
534	715	621
535	715	619
536	716	617
537	717	616
538	718	614
539	719	613
540	720	611
541	721	609
542	722	608
543	723	606
544	724	604
545	724	602
546	725	600
547	726	599
548	727	597
549	728	595
550	729	594
551	730	592
552	731	591
553	732	589
554	733	588
555	734	586
556	735	584
557	735	582
558	736	581
559	737	579
560	738	577
561	738	575
562	739	574
563	740	572
564	741	570
565	742	569
566	743	567
567	744	566
568	745	564
569	746	562
570	746	561
571	747	559
572	748	557
573	749	556
574	750	554
575	751	552
576	751	551
577	752	549
578	753	547
579	754	546
580	755	544
581	756	542
582	757	541
583	757	539
584	758	538
585	759	536
586	760	534
587	761	533
588	761	531
589	762	529
590	763	528
591	764	526
592	764	525
593	765	523
594	766	521
595	767	520
596	768	518
597	769	517
598	769	515
599	770	513
600	771	512
601	772	510
602	773	509
603	774	507
604	775	506
605	776	505
606	778	503
607	779	502
608	779	500
609	780	499
610	781	497
611	782	495
612	783	494
613	783	492
614	784	491
615	785	489
616	786	488
617	788	487
618	788	485
619	789	484
620	790	482
621	791	480
622	792	479
623	793	477
624	793	476
625	794	474
626	795	473
627	796	471
628	796	470
629	797	468
630	798	466
631	799	465
632	800	463
633	801	462
634	801	460
635	802	459
636	803	457
637	804	456
638	805	455
639	806	453
640	807	452
641	808	450
642	808	449
643	809	447
644	810	446
645	811	444
646	812	443
647	812	441
648	813	440
649	814	438
650	815	437
651	816	435
652	817	434
653	818	432
654	819	431
655	820	430
656	820	428
657	821	427
658	822	425
659	823	424
660	824	422
661	824	421
662	825	419
663	826	418
664	827	416
665	828	415
666	829	413
667	829	412
668	830	411
669	831	409
670	832	408
671	833	406
672	834	405
673	835	403
674	836	402
675	836	401
676	837	399
677	838	398
678	839	396
679	840	395
680	841	394
681	841	392
682	842	391
683	843	389
684	844	388
685	845	386
686	846	385
687	847	384
688	847	382
689	848	381
690	849	379
691	850	378
692	851	377
693	851	375
694	852	374
695	853	372
696	854	371
697	855	370
698	856	368
699	857	367
700	858	366
701	859	364
702	860	363
703	861	362
704	861	360
705	862	359
706	863	357
707	864	356
708	864	354
709	865	353
710	866	352
711	867	350
712	868	349
713	868	348
714	869	346
715	870	345
716	871	344
717	872	342
718	873	341
719	874	339
720	875	338
721	876	337
722	877	336
723	877	334
724	878	333
725	879	331
726	880	330
727	881	329
728	882	327
729	882	326
730	883	325
731	884	323
732	885	322
733	886	321
734	887	319
735	888	318
736	888	317
737	889	315
738	890	314
739	891	313
740	892	311
741	893	310
742	893	309
743	894	307
744	895	306
745	896	305
746	897	303
747	898	302
748	898	301
749	899	299
750	900	298
751	901	297
752	902	295
753	903	294
754	903	293
755	904	291
756	905	290
757	906	289
758	907	288
759	908	286
760	908	285
761	909	284
762	910	282
763	911	281
764	912	280
765	913	278
766	914	277
767	914	276
768	915	275
769	916	273
770	917	272
771	917	271
772	918	269
773	919	268
774	920	267
775	921	265
776	921	264
777	922	263
778	923	262
779	924	260
780	925	259
781	925	258
782	926	256
783	927	255
784	928	254
785	929	252
786	929	251
787	930	250
788	931	249
789	932	247
790	933	246
791	933	245
792	934	243
793	935	242
794	936	241
795	937	240
796	938	238
797	939	237
798	939	236
799	940	235
800	941	233
801	942	232
802	942	231
803	943	230
804	944	228
805	945	227
806	946	226
807	946	225
808	948	223
809	948	222
810	949	221
811	950	220
812	951	218
813	952	217
814	953	216
815	954	215
816	955	213
817	955	212
818	956	211
819	957	210
820	958	208
821	959	207
822	959	206
823	960	205
824	961	203
825	962	202
826	963	201
827	964	200
828	964	199
829	965	197
830	966	196
831	967	195
832	968	194
833	969	192
834	970	191
835	970	190
836	971	189
837	972	187
838	973	186
839	974	185
840	974	184
841	975	183
842	976	181
843	977	180
844	978	179
845	979	178
846	979	177
847	980	175
848	981	174
849	982	173
850	983	172
851	984	170
852	984	169
853	985	168
854	986	167
855	987	166
856	988	164
857	988	163
858	989	162
859	990	161
860	991	160
861	991	158
862	992	157
863	993	156
864	994	155
865	995	153
866	996	152
867	996	151
868	997	150
869	998	149
870	999	148
871	1000	146
872	1001	145
873	1001	144
874	1002	143
875	1003	142
876	1004	140
877	1005	139
878	1005	138
879	1006	137
880	1007	136
881	1008	134
882	1008	133
883	1009	132
884	1010	131
885	1011	130
886	1012	128
887	1013	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1018	120
894	1019	119
895	1019	118
896	1020	117
897	1021	116
898	1022	114
899	1023	113
900	1024	112
901	1024	111
902	1025	110
903	1026	109
904	1027	107
905	1028	106
906	1029	105
907	1029	104
908	1030	103
909	1031	102
910	1032	100
911	1033	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1036	93
917	1037	92
918	1038	91
919	1039	90
920	1039	89
921	1040	88
922	1041	86
923	1042	85
924	1043	84
925	1043	83
926	1044	82
927	1045	81
928	1046	79
929	1047	78
930	1047	77
931	1048	76
932	1049	75
933	1050	74
934	1050	73
935	1051	71
936	1052	70
937	1053	69
938	1054	68
939	1054	67
940	1055	66
941	1056	65
942	1057	63
943	1058	62
944	1059	61
945	1060	60
946	1060	59
947	1061	58
948	1062	57
949	1063	55
950	1064	54
951	1065	53
952	1065	52
953	1066	51
954	1067	50
955	1068	49
956	1069	48
957	1070	46
958	1070	45
959	1071	44
960	1072	43
961	1073	42
962	1074	41
963	1075	40
964	1076	39
965	1076	37
966	1077	36
967	1078	35
968	1079	34
969	1080	33
970	1080	32
971	1081	31
972	1082	30
973	1083	28
974	1083	27
975	1084	26
976	1085	25
977	1086	24
978	1087	23
979	1087	22
980	1089	21
981	1090	19
982	1091	18
983	1092	17
984	1093	16
985	1094	15
986	1095	14
987	1095	13
988	1096	12
989	1097	11
990	1098	9
991	1099	8
992	1099	7
993	1100	6
994	1101	5
995	1102	4
996	1103	3
997	1105	2
998	1106	1
999	1107	0
